domain,fb_score,mturk_score,allsides_score,allsides_score_community,mbfc_score,media_score,buntain_share_ideology_score
agdaily.com,,,,,0.0,,
ageofautism.com,,,,,0.66,,
agerpres.ro,,,,,0.0,,
agriculture.com,,,,,-0.33,,
agweb.com,,,,,0.33,,
ahram.org.eg,,,,,0.33,,
ahtribune.com,,,,,,,-0.9139198561865284
ahvalnews.com,,,,,-0.33,,
ahwatukee.com,,,,,0.0,,
aidc.org.za,,,,,-0.66,,
aier.org,,,,,0.33,,
aim.org,,,1.0,0.5,0.66,,
aim4truth.org,,,,,1.0,,
aina.org,,,,,0.66,,
airforcetimes.com,,,,,0.0,,0.4073867961338936
airspacemag.com,,,,,0.0,,
airwars.org,,,,,0.0,,
aish.com,,,,,0.66,,
ajc.com,,0.0,-0.5,0.0,-0.33,,-0.3277462827884586
akamaihd.net,,,,,,,0.4681587885356241
akamaized.net,,,,,,,0.3112225353394751
akc.org,,,,,,,0.1649690884502176
al-monitor.com,,,,,-0.33,,
al-sura.com,,,,,-0.33,,
al.com,0.009,0.0,,,0.33,,0.1668637705410053
alabamanow.com,,,,,0.0,,
alarabiya.net,,,,,0.33,,
alaraby.co.uk,,,,,-0.33,,
alaskasnewssource.com,,,,,0.0,,
albanystandard.com,,,,,0.33,,
albawaba.com,,,,,0.33,,
albernivalleynews.com,,,,,-0.33,,
albertapressleader.ca,,,,,0.66,,
albertaviews.ca,,,,,-0.33,,
albumism.com,,,,,,,-0.6745606118820197
aldergrovestar.com,,,,,-0.33,,
aldianews.com,,,,,-0.66,,
alec.org,,,,,0.66,,
alertapolitica.org,,,,,,,-1.100480800467806
aleteia.org,,,,,0.33,,0.4556625644226152
alfastories.com,,,,,,,0.5507031489209865
algemeiner.com,0.4456,,,,0.33,,0.8608982256995565
aljazeera.com,-0.5895,0.0,,,-0.33,,-1.031170449115779
all-that-is-interesting.com,,,,,,,-0.2911344746095993
allaboutstates.com,,,,,,,0.4185944973086473
allafrica.com,,,,,0.0,,
allblackmedia.com,,,,,,,-0.8799284121853569
allcuteallthetime.com,,,,,,,0.5757046005250377
alldevotion.com,,,,,,,0.3643836536957259
allenbwest.com,0.8918,,,,,,1.5728781997662622
allenwestrepublic.com,0.9423,,,,,,1.6164698604763417
allgov.com,,,,,-0.33,,
alligator.org,,,,,-0.66,,
allnewspipeline.com,,,,,0.33,,
alloaadvertiser.com,,,,,0.0,,
allrecipes.com,,,,,,,0.2952001977096407
allstate.com,,,,,,,0.602653428826345
allthatsfab.com,,,,,,,0.2207018325376304
allthatsinteresting.com,,,,,,,-0.1191573071176619
allthatsnews.com,,,,,,,1.2121564277889527
allure.com,,,,,,,-0.560822019148072
almanac.com,,,,,,,0.1954120354846128
almanar.com.lb,,,,,0.33,,
almasdarnews.com,,,,,0.66,,
alohastatenews.com,,,,,0.33,,
alot.com,,,,,,,0.3389505787938214
alphanews.org,,,,,1.0,,
alphanewsmn.com,,,,,,,1.391536329297543
alreporter.com,,,,,0.0,,
altdriver.com,,,,,,,0.8444611537387996
altdrudge.com,,,,,,,1.5094333344424848
alternativehealthuniverse.com,,,,,,,0.2054056171412903
alternativemediasyndicate.com,-0.5579,,,,,,-1.0759476859867023
alternativenews.com,,,,,0.66,,
alternativenewsnetwork.net,,,,,,,0.0731400234218415
alternet.org,-0.8804,-0.916666666667,-1.0,0.0,-0.66,-1.1608950013730182,-1.4180032989556075
althealthworks.com,,,,,,,0.037302777900668
altleft.news,,,,,0.66,,
altnews.in,,,,,-0.66,,
altnewsmedia.net,,,,,0.66,,
altoday.com,,,,,0.33,,
altpress.com,,,,,,,-0.5910538524447397
altrighttv.com,,,,,1.0,,
amac.us,,,,,0.66,,1.629896456115684
amarillo.com,,,,,0.0,,
amazingclassiccars.com,,,,,,,0.8352044232694613
amazingpandph.com,,,,,,,0.2922591373400753
amazon.com,0.0362,0.0,,,,,0.0012605075577563
ambrosiaforheads.com,,,,,,,-0.8273693439136637
america.aljazeera.com,-0.7362,,,,,,
americablog.com,,,,,-0.66,,
americafirstpolicy.com,,,,,0.66,,
americafirstpolls.com,,,,,,,1.4541562057789748
americamagazine.org,,,,,-0.33,,-0.8399550707602921
americamaxnews.com,,,,,0.66,,
americanactionforum.org,,,,,0.33,,
americanactionnews.com,,,,,0.66,,1.626703178380103
americanaffairsjournal.org,,,,,0.33,,
americanbridgepac.org,,,,,-0.66,,
americanconsequences.com,,,,,0.66,,
americanconservativeherald.com,,,,,,,1.5177409393104646
americanconservativemovement.com,,,,,1.0,,
americandailynews.org,,,,,,,1.5450453791008931
americandailypatriot.com,,,,,,,1.508128460989717
americanewscentral.com,,,,,,,1.6252339774727549
americanewshub.com,,,,,,,1.6420663569105842
americanexperiment.org,,,,,0.66,,
americanfirearms.org,,,,,0.33,,
americanfreepress.net,,,,,0.66,,
americangg.net,,,,,,,1.0635433546442372
